X,Y
708.7174349,4.98E-05
711.7034068,4.94E-05
714.6893788,4.89E-05
717.6753507,4.85E-05
720.6613226,4.81E-05
723.6472946,4.77E-05
726.6332665,4.73E-05
729.6192385,4.70E-05
732.6052104,4.66E-05
735.5911824,4.62E-05
738.5771543,4.58E-05
741.5631263,4.55E-05
744.5490982,4.51E-05
747.5350701,4.47E-05
750.5210421,4.44E-05
753.507014,4.40E-05
756.492986,4.37E-05
759.4789579,4.33E-05
762.4649299,4.30E-05
765.4509018,4.27E-05
768.4368737,4.23E-05
771.4228457,4.20E-05
774.4088176,4.17E-05
777.3947896,4.14E-05
780.3807615,4.11E-05
783.3667335,4.07E-05
786.3527054,4.04E-05
789.3386774,4.01E-05
792.3246493,3.98E-05
795.3106212,3.95E-05
798.2965932,3.92E-05
801.2825651,3.89E-05
804.2685371,3.86E-05
807.254509,3.84E-05
810.240481,3.81E-05
813.2264529,3.78E-05
816.2124248,3.75E-05
819.1983968,3.73E-05
822.1843687,3.70E-05
825.1703407,3.67E-05
828.1563126,3.65E-05
831.1422846,3.62E-05
834.1282565,3.59E-05
837.1142285,3.57E-05
840.1002004,3.54E-05
843.0861723,3.52E-05
846.0721443,3.49E-05
849.0581162,3.47E-05
852.0440882,3.44E-05
855.0300601,3.42E-05
858.0160321,3.40E-05
861.002004,3.37E-05
863.987976,3.35E-05
866.9739479,3.33E-05
869.9599198,3.30E-05
872.9458918,3.28E-05
875.9318637,3.26E-05
878.9178357,3.24E-05
881.9038076,3.21E-05
884.8897796,3.19E-05
887.8757515,3.17E-05
890.8617234,3.15E-05
893.8476954,3.13E-05
896.8336673,3.11E-05
899.8196393,3.09E-05
902.8056112,3.07E-05
905.7915832,3.05E-05
908.7775551,3.03E-05
911.7635271,3.01E-05
914.749499,2.99E-05
917.7354709,2.97E-05
920.7214429,2.95E-05
923.7074148,2.93E-05
926.6933868,2.91E-05
929.6793587,2.89E-05
932.6653307,2.87E-05
935.6513026,2.86E-05
938.6372745,2.84E-05
941.6232465,2.82E-05
944.6092184,2.80E-05
